id,ville,adresse,dist_km,brand,source,osm,osm_tags,match_m,shared
69680003,CHASSIEU,28 Route de Lyon,9.81,Intermarché,recognised,node/12780098927,brand=Intermarché | name=Intermarché,124,
69230001,SAINT-GENIS-LAVAL,Les basses barolles,10.04,Auchan,recognised,node/25212280,brand=Auchan | operator=Auchan Saint-Genis-Laval | name=Auchan Saint-Genis-Laval,56,
69250008,Fleurieu-sur-Saône,Route de Lyon,10.12,Eni,recognised,node/9481688790,brand=Eni | name=Eni,15,
69800019,Saint-Priest,248 ROUTE DE GRENOBLE,10.41,Total Access,recognised,node/6003231164,brand=Total Access | name=Relais Saint-Priest Mi-Plaine 2,0,
69800014,Saint-Priest,RN 6- ROUTE DE GRENOBLE,10.42,Total Access,recognised,node/1875211955,brand=Total Access | name=Relais Saint-Priest Mi-Plaine,11,
69150001,Décines-Charpieu,328 Avenue Jean Jaurès,10.46,Esso Express,recognised,node/3274581768,brand=Esso Express | name=Esso Express,60,
69320008,FEYZIN,18 rue du 11 Novembre,10.55,TotalEnergies,recognised,node/4387467546,brand=TotalEnergies | name=Total,5,
69126001,Brindas,369 Route Neuve,11.01,Renault,raw,node/4937644557,brand=Renault | operator=Garage Brossard | name=Renault Express 24h/24,53,
69680002,CHASSIEU,44 Route de Genas,11.06,Carrefour Market,recognised,way/84224846,brand=Carrefour Market | operator=Carrefour | name=Carrefour Market,71,
69150004,Décines-Charpieu,397 avenue jean jaures,11.23,TotalEnergies,recognised,node/25212541,brand=TotalEnergies | name=TotalEnergies,35,
69800010,SAINT-PRIEST,13 Bd Edouard HERRIOT,11.25,Carrefour Market,recognised,way/177593455,brand=Carrefour Market | operator=Carrefour Market | name=Station Carrefour Market Saint-Priest,9,
69290002,Grézieu-la-Varenne,Avenue Benoît Launay,11.44,E.Leclerc,recognised,way/133552838,brand=E.Leclerc | operator=E. Leclerc | name=Station service E. Leclerc,21,
69960006,Corbas,51 avenue Gabriel Péri,11.64,TotalEnergies,recognised,node/9333931301,brand=Total Contact,39,
69882001,Meyzieu,rue de la République,11.75,E.Leclerc,recognised,way/116483939,brand=E.Leclerc | operator=E. Leclerc | name=Station service E. Leclerc,111,
69250009,Neuville-sur-Saône,28 AVENUE BURDEAU,12.01,TotalEnergies,recognised,node/3118660122,brand=TotalEnergies | name=TotalEnergies,48,
69330003,Meyzieu,49 Avenue de Verdun,12.12,Esso,recognised,way/122781108,brand=Esso | name=Esso,61,
69800016,Saint-Priest,72 ROUTE D'HEYRIEUX,12.13,TotalEnergies,recognised,way/83943276,operator=Total Market | name=TotalEnergies,54,
69740002,Genas,22 ROUTE DE LYON,12.35,Esso,recognised,node/7502853216,brand=Esso | name=Esso,43,
69530002,Brignais,213 Rue Général de Gaulle,12.42,Carrefour Contact,recognised,node/5000597834,brand=Carrefour Contact | name=Carrefour Contact,77,
69360011,Saint-Symphorien-d'Ozon,AUTOROUTE A7 - AIRE DE SOLAIZE,12.45,TotalEnergies,recognised,node/25214548,brand=Total | operator=Total | name=Station Service Total Access,33,
1700005,MIRIBEL,RUE DU FIGUIER,12.64,Carrefour,recognised,node/7183794921,brand=Carrefour | name=Carrefour,49,
69390001,CHARLY,129 Rue de la Mûre,12.67,TotalEnergies,recognised,way/126124938,brand=Total | name=Total,38,
69800013,Saint-Priest,"AUTOROUTE A43, AIRE DE MANISSIEUX",12.76,,unmatched,,,,
69800018,Saint-Priest,119 Route d'Heyrieux,12.81,Esso,recognised,node/25213955,brand=Esso | operator=Esso | name=ESSO Saint-Priest Heyrieux,85,
69800012,Saint-Priest,"AUTOROUTE A43, AIRE DE SAINT PRIEST",12.94,BP,recognised,node/25210081,brand=BP | operator=BP | name=Station Service BP,68,
69670002,VAUGNERAY,61 Route de Bordeaux,13.11,Esso,recognised,way/128624686,brand=Esso | name=Esso,60,
69330005,MEYZIEU,80 Rue Joseph Desbois,13.28,Intermarché,recognised,way/116483079,brand=Intermarché | operator=Groupement des Mousquetaires | name=Intermarché,92,
1700003,Miribel,RN 83,13.29,Esso,recognised,node/918837069,brand=Esso | operator=Esso | name=Esso Express Les Échets,94,
69800017,Saint-Priest,91 RTE DE GRENOBLE,13.48,Total Access,recognised,node/25178719,brand=Total Access | operator=Total | name=Relais Total de Saint-Hubert,157,
69390008,VOURLES,Rn.86 Les Sept Chemins - Avenue du Général Brosset,13.5,TotalEnergies,recognised,node/1325303896,brand=TotalEnergies | name=TotalEnergies,7,
69390007,VOURLES,RN 86 - LES SEPT CHEMINS,13.56,Eni,recognised,node/1759913543,brand=Eni | operator=Eni | name=Eni,1,
69330001,MEYZIEU,Rue de la République,13.68,Carrefour Market,recognised,node/4287222089,brand=Carrefour Market | name=Carrefour Market,104,
69390005,Vernaison,641 route de Givors,13.71,Super U,recognised,node/8514805688,brand=Système U | name=Système U,27,
69510004,Messimy,104 ROUTE DES MONTS DU LYONNAIS,13.87,Esso,recognised,node/5000635320,brand=Esso | name=Esso,214,
69380007,LISSIEU,Chemin de Montluzin,13.99,Avia,recognised,node/1505086037,brand=Avia | operator=Avia | name=Avia,19,
1390011,MIONNAY,AIRE DE MIONNAY OUEST,14.24,Shell,recognised,way/971163622,brand=Shell | name=Shell,30,
69730002,GENAY,Rue Ampère,14.38,E.Leclerc,recognised,way/621596262,brand=E.Leclerc | name=Station E. Leclerc,75,
1700004,BEYNOST,ZAC des Baterses,14.42,,unmatched,,,,
69380004,CIVRIEUX-D'AZERGUES,473 Route de la Vallée,14.45,E.Leclerc,recognised,way/136410517,brand=E.Leclerc | operator=E. Leclerc | name=Station service E. Leclerc,27,
69360015,Saint-Symphorien-d'Ozon,ROUTE DE CORBAS CD 148,14.47,Total Access,recognised,node/4387467543,brand=Total Access | name=Relais de l'Ozon,90,
69970001,CHAPONNAY,"85, Avenue de Chaponnay - Parc d'activité de la vallée de l'Ozon",14.52,E.Leclerc,recognised,way/421598158,brand=E. Leclerc | operator=E. Leclerc | name=Station service E. Leclerc,44,
69510002,MESSIMY,Route des Monts du Lyonnais,14.54,,unmatched,,,,
69210009,LENTILLY,RN 7 LE GRAND CHEMIN,14.6,Avia,recognised,node/1275639637,brand=Avia | operator=Avia | name=Avia,15,
1390009,MIONNAY,AIRE DE MIONNAY EST CHATANAYAUTOROUTE A 46,14.62,Eni,recognised,way/78170655,brand=Eni | name=Eni,6,
69360018,SEREZIN DU RHONE,A7 AIRE DE SEREZIN DU RHONE,14.85,Avia,recognised,node/4332360356,brand=Avia | operator=Avia | name=Avia,39,
