id,cp,ville,adresse,lat,lon,dist_km,pop
69803001,69800,Saint-Priest,BLD. André Boulloche BP 341,45.72,4.924,8.42,R
69540001,69540,Irigny,Rue du Chateau d'Yvours,45.688,4.825,8.49,R
69270002,69270,Rochetaillée-sur-Saône,261 Quai Pierre Dupont,45.843,4.835,8.78,R
69320004,69320,Feyzin,Chemin départemental 12,45.68452,4.86109,9.05,R
69320005,69320,Feyzin,Chemin départemental 12,45.68328,4.85714,9.13,R
69200009,69200,VENISSIEUX,RTE DE CORBAS - RD 57,45.69,4.891,9.28,R
69200002,69200,Vénissieux,Route de Corbas,45.68972,4.89109,9.31,R
69800005,69800,SAINT-PRIEST,ROUTE DE LYON,45.70108,4.91844,9.5,R
69800015,69800,Saint-Priest,32 ROUTE DE LYON,45.70127,4.91889,9.51,R
69320002,69320,FEYZIN,CD-12,45.67732,4.85032,9.71,R
69680003,69680,CHASSIEU,28 Route de Lyon,45.739,4.957,9.81,R
69320007,69320,FEYZIN,CD 12,45.675,4.848,9.94,R
69230001,69230,SAINT-GENIS-LAVAL,Les basses barolles,45.679,4.792,10.04,R
69320006,69320,FEYZIN,CD 12,45.674,4.848,10.05,R
69250008,69250,Fleurieu-sur-Saône,Route de Lyon,45.855,4.84,10.12,R
69760001,69760,LIMONEST,403 Route de Bellevue,45.843,4.77,10.15,R
69800019,69800,Saint-Priest,248 ROUTE DE GRENOBLE,45.71843,4.95285,10.41,R
69800003,69800,SAINT-PRIEST,259 Route de Grenoble,45.7181,4.95269,10.42,R
69800014,69800,Saint-Priest,RN 6- ROUTE DE GRENOBLE,45.7181,4.95269,10.42,R
69800021,69800,SAINT PRIEST,259 ROUTE DE GRENOBLE,45.71808,4.95276,10.42,R
69150001,69150,Décines-Charpieu,328 Avenue Jean Jaurès,45.772,4.97,10.46,R
69320008,69320,FEYZIN,18 rue du 11 Novembre,45.66967,4.85043,10.55,R
69126001,69126,Brindas,369 Route Neuve,45.729,4.703,11.01,R
69680002,69680,CHASSIEU,44 Route de Genas,45.73704,4.97295,11.06,R
69150003,69150,DECINES,397 AVENUE JEAN JAURES,45.77185,4.98,11.23,R
69150004,69150,Décines-Charpieu,397 avenue jean jaures,45.772,4.98,11.23,R
69800020,69800,St Priest,91 route de Grenoble,45.697,4.944,11.23,R
69800010,69800,SAINT-PRIEST,13 Bd Edouard HERRIOT,45.6937,4.94,11.25,R
69800022,69800,SAINT PRIEST,248 ROUTE DE GRENOBLE,45.69671,4.94404,11.26,R
69530001,69530,BRIGNAIS,21 Rue Général de Gaulle,45.675,4.763,11.39,R
69290002,69290,Grézieu-la-Varenne,Avenue Benoît Launay,45.741,4.692,11.44,R
69800009,69800,SAINT-PRIEST,7 Rue de l'Égalité,45.69556,4.94586,11.45,R
69960006,69960,Corbas,51 avenue Gabriel Péri,45.677,4.919,11.64,R
