id,fuel,debut
75016003,Gazole,2013-11-21
75016003,SP98,2016-07-20
75016005,E10,2013-12-09
75016006,E85,2022-10-10
75016006,GPLc,2014-10-02
75016006,SP95,2011-11-11
75016007,E10,2012-07-19
75016007,E85,2013-12-01
75016007,GPLc,2013-12-01
75016007,Gazole,2013-12-01
75016007,SP95,2013-12-01
75016007,SP98,2013-12-01
75016008,E85,2009-09-05
75016008,GPLc,2011-06-27
75016008,SP95,2009-05-11
75016011,E10,2018-10-15
75016011,E85,2019-01-03
75016011,GPLc,2019-01-03
75016011,Gazole,2025-10-16
75016011,SP95,2025-10-16
75016011,SP98,2025-10-16
75016013,SP95,2012-02-29
75016014,E10,2014-08-26
75016015,SP98,2016-07-20
75016016,E10,2015-09-01
75016017,GPLc,2015-02-17
75016017,SP95,2026-09-17
75016019,E10,2019-01-08
75016019,E85,2019-01-08
75016019,GPLc,2019-01-08
75016020,E10,2019-01-08
75016020,E85,2019-01-08
75016020,GPLc,2019-01-08
75016023,SP98,2024-12-06
75016025,E85,2022-11-25
75016025,GPLc,2022-11-25
75016025,SP95,2025-01-09
75016029,E85,2025-08-19
75016029,GPLc,2025-08-19
75016029,SP95,2025-08-19
75017001,E85,2012-02-24
75017001,GPLc,2012-07-19
75017001,SP95,2012-02-24
75017002,E85,2012-12-07
75017002,GPLc,2012-12-07
75017002,SP95,2012-12-07
75017007,E10,2009-04-03
75017008,E10,2015-04-08
75017008,E85,2015-04-08
75017008,GPLc,2015-04-08
75017008,Gazole,2015-04-08
75017008,SP95,2009-12-15
75017008,SP98,2015-04-08
75017009,SP95,2009-12-08
75017014,SP95,2009-04-22
75017016,SP95,2011-01-23
75017017,E85,2018-06-13
75017017,GPLc,2018-06-13
75017017,SP95,2018-06-13
75017020,E85,2022-10-06
75017020,GPLc,2022-10-10
75017020,SP95,2022-10-06
75018001,E10,2012-03-02
75018001,E85,2012-03-02
75018001,GPLc,2012-03-02
75018003,SP98,2016-07-20
75018005,E10,2015-04-08
75018005,E85,2015-04-08
75018005,GPLc,2015-04-08
75018005,Gazole,2015-04-08
75018005,SP95,2009-11-27
75018005,SP98,2015-04-08
75018007,E85,2012-03-02
75018007,GPLc,2012-03-02
75018007,SP95,2012-03-02
75018008,SP95,2009-04-14
75018009,E85,2010-10-21
75018009,SP95,2014-05-06
75018010,E85,1970-01-01
75018010,GPLc,1970-01-01
75018010,SP95,1970-01-01
75018011,E10,1970-01-01
75018011,E85,1970-01-01
75018011,GPLc,1970-01-01
75018011,SP98,2013-10-25
75018013,E85,2023-02-03
75018013,GPLc,2023-02-03
