id,ville,cp,adresse,dist_km,lat,lon,Gazole,SP95,SP98,E10,E85,GPLc,maj
93360002,Neuilly-Plaisance,93360,3 CHEMIN DE MEAUX,13.27,48.862,2.51,2.250,,1.990,,,,2026-09-10 08:59:32
92420002,VAUCRESSON,92420,18 Boulevard de la République,13.37,48.839,2.166,2.389,2.279,2.345,2.199,,,2026-09-20 02:15:00
91420002,Morangis,91420,RUE DE SAVIGNY,13.39,48.693,2.337,,,,,,,
92700023,COLOMBES,92700,64 BD CHARLES DE GAULLE,13.49,48.911,2.235,2.579,,2.509,2.339,1.159,,2026-09-18 14:34:05
93700004,DRANCY,93700,35-39 AVENUE HENRI BARBUSSE,13.55,48.916,2.444,2.250,,1.990,1.990,0.899,,2026-09-20 00:01:00
92390001,Villeneuve-la-Garenne,92390,37 Avenue de Verdun,13.57,48.935,2.331,2.649,,2.589,2.409,,,2026-09-18 17:35:53
92500017,Rueil-Malmaison,92500,155 AVENUE PAUL DOUMER,13.59,48.87062,2.18045,2.569,,2.449,2.339,0.995,,2026-09-17 07:42:40
92230008,GENNEVILLIERS,92230,192 Avenue Louis Roche,13.6,48.9327,2.3044,2.449,2.279,2.319,2.249,,,2026-09-18 13:42:54
93200008,Saint-Denis,93200,112 AV P. VAILLANT COUTURIER,13.64,48.935,2.368,2.649,,2.569,2.399,1.159,,2026-09-18 14:35:47
93330005,Neuilly-sur-Marne,93330,9 TER BD MARECHAL FOCH,13.65,48.85427,2.52019,2.250,,,1.990,0.899,,2026-09-20 00:01:00
94500007,Champigny-sur-Marne,94500,156 Rue Alexandre Fourny,13.68,48.82,2.531,2.380,2.187,2.252,2.189,,,2026-09-19 05:00:00
91140002,Villebon-sur-Yvette,91140,CHEMIN DE BRIIS CD 59,13.75,48.705,2.254,2.250,,,,,,2026-09-20 00:01:00
91270003,VIGNEUX-SUR-SEINE,91270,54 Avenue Henri Barbusse,13.76,48.7,2.42,2.629,,2.589,2.419,,1.189,2026-09-18 13:49:16
92230011,GENNEVILLIERS,92230,37 AVENUE LUCIEN LANTERNIER,13.79,48.932,2.29,2.250,,1.990,1.990,0.899,,2026-09-20 00:01:00
93120004,LA COURNEUVE,93120,AUTOROUTE A1 - AIRE DE LA COURNEUVE EST,13.83,48.934,2.39,2.250,,1.990,1.990,0.969,0.999,2026-09-20 00:01:00
93160006,Noisy-le-Grand,93160,4 Boulevard du Maréchal Foch,13.89,48.845,2.528,2.425,,2.315,2.205,,,2026-09-18 08:09:56
91270002,VIGNEUX-SUR-SEINE,91270,5 Avenue Henri Barbusse,13.93,48.697,2.415,2.369,,2.304,2.182,,,2026-09-16 10:27:21
