id,ville,adresse,dist_km,brand,source,osm,osm_tags,match_m,shared
94340007,Joinville-le-Pont,39 RUE CHAPSAL,8.88,Esso,recognised,way/85049034,brand=Esso | name=Esso,66,
94340008,JOINVILLE LE PONT,17/19 BD DE L'EUROPE,8.9,BP,recognised,way/787158896,brand=BP | name=BP,48,
94000004,Créteil,22 Avenue Pierre Brossolette,8.96,Esso Express,recognised,node/1177524819,brand=Esso Express | name=Esso Express,24,
92200006,NEUILLY,31 AVENUE DU ROULE,8.98,Esso,recognised,node/3240835095,brand=Esso | name=Esso,48,
94012001,Créteil,119 Avenue du Général de Gaulle,9.02,Carrefour,recognised,node/344473799,brand=Carrefour | name=Carrefour,17,
75017019,PARIS,3-5 AVENUE DE LA PORTE D'ASNIERES,9.09,,unmatched,,,,
94310002,Orly,8 Place Gaston Viens,9.1,E.Leclerc,recognised,way/143318655,brand=E.Leclerc | operator=E. Leclerc | name=Station Service E. Leclerc,51,
92160006,ANTONY,100 AV DU PRESIDENT KENNEDY,9.12,TotalEnergies,recognised,way/221548422,brand=TotalEnergies | name=Total,39,
94000006,Créteil,69 Avenue Pierre Brossolette,9.13,Esso,recognised,node/1177524687,brand=Esso | name=Esso,58,
75017017,PARIS,190 AVENUE DE CLICHY,9.16,Total Access,recognised,node/2377881055,brand=Total Access | operator=TotalEnergies | name=TotalEnergies,24,
93260007,LES LILAS,238 RUE DE PARIS,9.17,,unmatched,,,,
94542003,ORLY,"SARL Jaby, ORLY Ouest 453",9.18,Avia,recognised,node/25214414,brand=Avia | operator=Avia,36,
75019016,PARIS,234 RUE DE CRIMEE,9.21,TotalEnergies,recognised,node/3286386321,brand=TotalEnergies | name=TotalEnergies,134,
92190003,MEUDON,97 TER ROUTE DU PAVE DES GARDES,9.34,TotalEnergies,recognised,node/1934839203,brand=Total | name=Station Relais Total Meudon,3,
92300004,PARIS,2/10 BLD FORT DE VAUX,9.39,E.Leclerc,recognised,way/233599523,brand=E.Leclerc | operator=E. Leclerc | name=Station Service E.Leclerc,97,
92200005,Neuilly-sur-Seine,RUE ACHILE PERETTI - TOTAL,9.42,TotalEnergies,recognised,node/255003455,brand=Total | name=Total,170,
75018013,PARIS,30 AV PTE CLIGNANCOURT,9.64,TotalEnergies,recognised,way/1450226286,brand=TotalEnergies | name=TotalEnergies - Porte de Clignancourt,35,
75018014,PARIS,32 AVENUE DE LA PORTE DE ST OUEN,9.65,TotalEnergies,recognised,way/152205005,brand=TotalEnergies | name=Relais Saint-Ouen Bichat,32,
78140009,VELIZY-VILLACOUBLAY,AIRE DU VAL DE GRACE,9.76,Shell,recognised,node/25213982,brand=Shell | operator=Shell | name=Station Shell,15,
93100011,Montreuil,16 Boulevard Aristide Briand,9.79,,none,way/81827766,,31,
92110011,CLICHY,10 BLD DU GENERAL LECLERC,9.85,TotalEnergies,recognised,node/6329691790,brand=Total | operator=Total,65,
75019014,Paris,BLD DU PERIPHERIQUE INTERIEUR,9.87,TotalEnergies,recognised,node/320203219,brand=TotalEnergies | operator=Total | name=TotalEnergies,49,
94120005,Fontenay-sous-Bois,236 Avenue de la République,9.94,Avia,recognised,node/4841685778,brand=Avia,78,
75019013,Paris,BLD DU PERIPHERIQUE EXTERIEUR,9.98,Total Access,recognised,node/8565493452,brand=Total Access | name=TotalEnergies,13,
92210009,Saint-Cloud,65 QUAI MARCEL DASSAULT,10.02,TotalEnergies,recognised,node/25209909,brand=TotalEnergies | operator=Total Access | name=Relais Saint-Cloud Dassault,38,
93230005,ROMAINVILLE,22 AVENUE LENINE,10.05,TotalEnergies,recognised,node/476757242,brand=Total | operator=Total | name=Relais des Fontaines,54,
78140001,VéLIZY-VILLACOUBLAY,4 Rue Dewoitine,10.06,Auchan,recognised,node/25209877,brand=Auchan | operator=Auchan | name=Station Auchan,76,
92300014,Levallois-Perret,"106, rue du président wilson",10.11,BP,recognised,node/4294514704,brand=BP | name=Station BP Levallois Président Wilson,36,
94100011,Saint-Maur-des-Fossés,57 BD DE CRETEIL,10.15,BP,recognised,node/1123183347,brand=BP | name=BP,35,
94190002,Villeneuve-Saint-Georges,20 Rue Winston Churchill,10.17,Esso Express,recognised,node/2582418715,brand=Esso Express | name=Esso Express,97,
92300013,Levallois-Perret,162 RUE VICTOR HUGO,10.22,,none,node/14136653074,,14,
93100017,MONTREUIL,"151, RUE NOUVELLE France",10.35,BP,recognised,node/8125041945,brand=BP | name=Esso,14,
92800007,PUTEAUX,Quai de Dion-Bouton,10.39,,unmatched,,,,
92210008,SAINT-CLOUD,35 Boulevard de la République,10.45,BP,recognised,node/2415333560,brand=BP,34,
92800008,PUTEAUX,42 QUAI DE DION BOUTON,10.48,Esso,recognised,way/432849877,brand=Esso | operator=Esso | name=Esso,47,
93400010,Saint-Ouen,56-74 AVENUE MICHELET,10.53,TotalEnergies,recognised,node/3336875296,brand=Total | name=Total Michelet,41,
94460001,Valenton,44 rue Sablonnière,10.77,Carrefour,recognised,node/5001273508,brand=Carrefour | name=Carrefour Market,22,
91300007,Massy,Avenue de l'Europe,10.79,Carrefour,recognised,node/25209086,brand=Carrefour | operator=Cora | name=Carrefour,59,
93500008,PANTIN,130-132 AVENUE DU GENERAL LECLERC,10.8,Total Access,recognised,way/73118279,brand=Total Access | name=Total Access,40,
92150006,SURESNES,131 BOULEVARD HENRI SELLIER,10.83,TotalEnergies,recognised,way/70962877,brand=TotalEnergies | name=Total,78,
92150008,Suresnes,138 BOULEVARD HENRI SELLIER,10.85,BP,recognised,node/3046172614,brand=BP | operator=BP | name=Esso,53,
94130003,Nogent-sur-Marne,"128, BOULEVARD DE STRASBOURG",10.88,TotalEnergies,recognised,node/1199989949,brand=Total | operator=Total | name=Total,50,
92110010,CLICHY,143/145 BLD JEAN JAURES,10.89,Total Access,recognised,node/281969443,brand=Total Access | operator=Total | name=Total Access Pont de Clichy,45,
92400016,COURBEVOIE,41 QUAI PAUL DOUMER,10.89,TotalEnergies,recognised,node/5644334327,brand=Total | name=Total,40,
92210003,Saint-Cloud,24 Rue Pasteur,10.9,Esso,recognised,node/3257440746,brand=Esso | name=Esso,40,
94190007,Villeneuve-Saint-Georges,232 RUE DE PARIS,10.92,TotalEnergies,recognised,node/25210897,brand=Total | operator=Total Energy | name=Esso,4,
92400013,Courbevoie,82 Quai du Maréchal Joffre,10.99,8 à Huit,raw,node/363589546,operator=8 à Huit | name=Station Quai Joffre,55,
94500014,Champigny-sur-Marne,97 AVENUE GENERAL DE GAULLE,11.01,Esso,recognised,node/25209770,brand=Esso | operator=Esso | name=Esso,15,
93210003,La plaine-saint-denis,207-213 AVENUE DU PDT WILSON,11.02,TotalEnergies,recognised,node/25179467,brand=TotalEnergies | operator=Total | name=TotalEnergies,161,
94100005,SAINT-MAUR-DES-FOSSéS,"57, Rue Delerue",11.05,Carrefour Market,recognised,way/988358811,brand=Carrefour Market | name=Carrefour Market,3,
93300008,AUBERVILLIERS,55 Rue de la Commune de Paris,11.06,Auchan,recognised,node/5001273502,brand=Auchan | name=Auchan,116,
93300009,AUBERVILLIERS,62-64 AVENUE DE LA REPUBLIQUE,11.07,TotalEnergies,recognised,node/1432006008,brand=Total,38,
94500011,CHAMPIGNY SUR MARNE,114 AV. DU GENERAL DE GAULLE,11.08,TotalEnergies,recognised,way/109530791,brand=TotalEnergies | operator=TotalEnergies | name=TotalEnergies - Relais du Tremblay,33,
93130007,Noisy-le-Sec,Rue de la Chasse,11.09,,unmatched,,,,
92380007,GARCHES,173 179 RUE DE LA PORTE JAUNE,11.1,Esso,recognised,node/2677682330,brand=ESSO | name=Station ESSO Garches Porte Jaune,19,
93100014,MONTREUIL,48-54 BOULEVARD THEOPHILE SUEUR,11.11,TotalEnergies,recognised,way/81856304,brand=TotalEnergies | name=Total Access,21,
94100013,SAINT-MAUR-DES-FOSSÉS,64 AVENUE FOCH,11.12,Avia,recognised,way/1493223079,brand=Avia | name=Avia,136,
94380002,Bonneuil-sur-Marne,ROUTE DE LA POMPADOUR,11.16,Esso Express,recognised,way/106884312,brand=Esso Express | name=Esso Express,14,
94120010,Fontenay-sous-Bois,RUE PT GAL DE GAULLE,11.2,BP,recognised,way/544479741,brand=BP | operator=BP | name=BP,31,
93300010,Aubervilliers,126 Avenue Victor Hugo,11.28,Esso,recognised,node/1455100868,brand=Esso | name=Esso,3,
94290003,VILLENEUVE-LE-ROI,32 Avenue le Foll,11.38,Intermarché,recognised,node/2262003609,brand=Intermarché | operator=Groupement des Mousquetaires | name=Intermarché,1,
