id,cp,ville,adresse,lat,lon,dist_km,pop
31300003,31300,TOULOUSE,5 av Groupe Morhange,43.5893,1.40011,11.45,R
31860005,31860,Labarthe-sur-Lèze,2111 route du Plantaurel,43.45,1.39,11.52,R
31500003,31500,TOULOUSE,22 Avenue de Lyon,43.61492,1.45229,11.64,R
31500006,31500,Toulouse,AVENUE YVES BRUNAUD,43.619,1.468,11.73,R
31200013,31200,TOULOUSE,20 Boulevard des Minimes,43.61559,1.44738,11.85,R
31200021,31200,TOULOUSE,20 BLD DES MINIMES,43.61559,1.44738,11.85,R
31270004,31270,CUGNAUX,34 Rue de la Vimona,43.529,1.35,12.18,R
31270005,31270,CUGNAUX,Rue Henry Gladi,43.546,1.353,12.31,R
31500016,31500,TOULOUSE,65 ROUTE D'AGDE,43.626,1.476,12.37,R
31300004,31300,TOULOUSE,6 Avenue Du Groupe Morhange,43.60073,1.39858,12.46,R
31300008,31300,TOULOUSE,6 AVENUE DU GOUPE MORHANGE,43.601,1.399,12.46,A
31300009,31300,TOULOUSE,Périphérique intérieur - 6 avenue du groupe Morhange,43.60075,1.39856,12.47,R
31000002,31500,TOULOUSE,ROUTE D AGDE,43.62771,1.47973,12.52,R
31000004,31000,TOULOUSE,65 ROUTE D AGDE,43.62771,1.47973,12.52,R
31270006,31270,VILLENEUVE-TOLOSANE,8 Avenue de Francazal,43.52416,1.34334,12.66,R
31500007,31000,Toulouse,231 FAUBOURG BONNEFOY,43.626,1.459,12.66,R
31270007,31270,Villeneuve-Tolosane,8 AVENUE DE FRANCAZAL,43.524,1.343,12.69,R
31200024,31200,Toulouse,55 BOULEVARD DE SUISSE,43.615,1.421,12.71,R
31200011,31200,TOULOUSE,55 Boulevard de Suisse,43.61539,1.42092,12.75,R
31100003,31100,TOULOUSE,30 Chemin de Ferro-Lébrès,43.584,1.372,12.78,R
31200022,31200,TOULOUSE,55 BOULEVARD DE SUISSE,43.616,1.421,12.8,R
31075001,31075,TOULOUSE,92 Chemin de Gabardie,43.632,1.483,12.96,R
31200020,31200,TOULOUSE,103 BOULEVARD DE SUISSE,43.619,1.423,13.02,R
31200001,31200,Toulouse,103 Boulevard de Suisse,43.61923,1.42333,13.03,R
31600007,31600,MURET,RN 117 - LIEU DIT GUERIN,43.48845,1.34028,13.24,R
31076001,31076,TOULOUSE,36 route de bayonne,43.609,1.397,13.25,R
31570002,31570,Lanta,8 route de Caraman,43.561,1.655,13.45,R
31570001,31570,LANTA,Route de Caraman,43.56136,1.65919,13.78,R
31270003,31270,FROUZINS,CHEMIN MAILHEAUX,43.525,1.323,14.31,R
31200002,31200,Toulouse,211 Route d'Albi,43.643,1.467,14.36,R
31000003,31200,Toulouse,138 Avenue de Fronton,43.636,1.433,14.38,R
31600002,31600,MURET,68 Avenue Jacques Douzans,43.47163,1.33117,14.49,R
31170008,31170,TOURNEFEUILLE,20 boulevard Vincent Auriol,43.58635,1.34797,14.53,R
31170002,31170,TOURNEFEUILLE,5 Rue Bertrand Panouse,43.582,1.344,14.55,R
31170007,31170,Tournefeuille,20 Boulevard Vincent Auriol,43.586,1.347,14.58,R
31700004,31700,Blagnac,9 Avenue du Général Compans,43.626,1.398,14.73,R
31600011,31600,MURET,68 avenue Jacques Douzans,43.469,1.329,14.75,R
31240003,31240,SAINT-JEAN,6 AVENUE DE DANCELLE,43.649,1.506,14.79,R
31600001,31600,EAUNES,2 Boulevard de la leze,43.42,1.373,14.81,R
31240002,31240,L'UNION,AVENUE DE BAYONNE,43.649,1.484,14.83,R
31200008,31200,Toulouse,168 Avenue des États-Unis,43.64,1.429,14.92,R
