day,fuel,ceiling,nat_n,nat_cap,nat_below,loc_n,loc_cap,loc_below
2025-03-13,Gazole,2.25,9406,0,9404,72,0,72
2025-03-13,SP98,1.99,7906,40,7638,65,0,65
2025-03-14,E10,1.99,7362,0,7320,67,0,67
2025-03-14,Gazole,2.25,9406,0,9404,72,0,72
2025-03-14,SP98,1.99,7907,39,7649,65,0,65
2025-03-15,E10,1.99,7363,0,7320,67,0,67
2025-03-15,Gazole,2.25,9406,0,9404,72,0,72
2025-03-15,SP98,1.99,7908,40,7650,65,0,65
2025-03-16,E10,1.99,7363,0,7320,67,0,67
2025-03-16,Gazole,2.25,9406,0,9404,72,0,72
2025-03-16,SP98,1.99,7908,39,7650,65,0,65
2025-03-17,E10,1.99,7365,0,7325,67,0,67
2025-03-17,Gazole,2.25,9409,0,9407,72,0,72
2025-03-17,SP98,1.99,7911,38,7658,65,0,65
2025-03-18,E10,1.99,7366,0,7328,67,0,67
2025-03-18,Gazole,2.25,9411,0,9409,72,0,72
2025-03-18,SP98,1.99,7913,43,7660,65,0,65
2025-03-19,E10,1.99,7368,0,7330,67,0,67
2025-03-19,Gazole,2.25,9412,0,9410,72,0,72
2025-03-19,SP98,1.99,7915,52,7644,65,0,65
2025-03-20,E10,1.99,7369,1,7330,67,0,67
2025-03-20,Gazole,2.25,9416,0,9414,72,0,72
2025-03-20,SP98,1.99,7918,53,7646,65,0,65
2025-03-21,E10,1.99,7370,1,7326,67,0,67
2025-03-21,Gazole,2.25,9418,0,9416,72,0,72
2025-03-21,SP98,1.99,7920,52,7645,65,0,65
2025-03-22,E10,1.99,7371,1,7326,67,0,67
2025-03-22,Gazole,2.25,9419,0,9417,72,0,72
2025-03-22,SP98,1.99,7921,58,7641,65,0,65
2025-03-23,E10,1.99,7370,1,7325,67,0,67
2025-03-23,Gazole,2.25,9418,0,9416,72,0,72
2025-03-23,SP98,1.99,7920,58,7640,65,0,65
2025-03-24,E10,1.99,7371,1,7327,67,0,67
2025-03-24,Gazole,2.25,9421,0,9419,72,0,72
2025-03-24,SP98,1.99,7923,56,7643,65,0,65
2025-03-25,E10,1.99,7374,2,7331,67,0,67
2025-03-25,Gazole,2.25,9425,0,9423,72,0,72
2025-03-25,SP98,1.99,7925,69,7625,65,0,65
2025-03-26,E10,1.99,7376,2,7332,67,0,67
2025-03-26,Gazole,2.25,9429,0,9427,72,0,72
2025-03-26,SP98,1.99,7926,73,7619,65,0,65
2025-03-27,E10,1.99,7376,2,7327,67,0,67
2025-03-27,Gazole,2.25,9428,0,9426,72,0,72
2025-03-27,SP98,1.99,7926,77,7605,65,0,65
2025-03-28,E10,1.99,7379,2,7327,67,0,67
2025-03-28,Gazole,2.25,9430,0,9428,72,0,72
2025-03-28,SP98,1.99,7928,82,7596,65,0,65
2025-03-29,E10,1.99,7379,2,7326,67,0,67
2025-03-29,Gazole,2.25,9430,0,9428,72,0,72
2025-03-29,SP98,1.99,7929,85,7587,65,0,65
2025-03-30,E10,1.99,7380,2,7327,67,0,67
2025-03-30,Gazole,2.25,9430,0,9428,72,0,72
2025-03-30,SP98,1.99,7929,85,7587,65,0,65
2025-03-31,E10,1.99,7382,2,7328,67,0,67
2025-03-31,Gazole,2.25,9433,0,9431,72,0,72
2025-03-31,SP98,1.99,7932,85,7587,65,0,65
2025-04-01,E10,1.99,7383,2,7309,67,0,67
2025-04-01,Gazole,2.25,9434,0,9432,72,0,72
2025-04-01,SP98,1.99,7933,86,7583,65,0,65
2025-04-02,E10,1.99,7385,2,7307,67,0,67
2025-04-02,Gazole,2.25,9434,0,9432,72,0,72
2025-04-02,SP98,1.99,7934,112,7553,65,0,65
2025-04-03,E10,1.99,7385,2,7304,67,0,67
2025-04-03,Gazole,2.25,9435,0,9433,72,0,72
2025-04-03,SP98,1.99,7936,130,7531,65,0,65
2025-04-04,E10,1.99,7388,2,7311,67,0,67
2025-04-04,Gazole,2.25,9438,0,9436,72,0,72
2025-04-04,SP98,1.99,7939,88,7573,65,0,65
2025-04-05,E10,1.99,7386,2,7330,67,0,67
2025-04-05,Gazole,2.25,9437,0,9435,72,0,72
2025-04-05,SP98,1.99,7938,74,7589,65,0,65
2025-04-06,E10,1.99,7385,2,7329,67,0,67
2025-04-06,Gazole,2.25,9436,0,9434,72,0,72
2025-04-06,SP98,1.99,7937,74,7589,65,0,65
2025-04-07,E10,1.99,7386,2,7340,67,0,67
2025-04-07,Gazole,2.25,9436,0,9434,72,0,72
2025-04-07,SP98,1.99,7938,74,7606,65,0,65
2025-04-08,E10,1.99,7390,2,7350,67,0,67
2025-04-08,Gazole,2.25,9437,0,9435,72,0,72
2025-04-08,SP98,1.99,7940,67,7624,65,0,65
2025-04-09,E10,1.99,7392,2,7354,67,0,67
2025-04-09,Gazole,2.25,9439,0,9437,72,0,72
2025-04-09,SP98,1.99,7943,52,7652,65,0,65
2025-04-10,E10,1.99,7393,4,7377,67,0,67
2025-04-10,Gazole,2.25,9442,0,9440,72,0,72
2025-04-10,SP98,1.99,7944,28,7706,65,0,65
2025-04-11,E10,1.99,7393,2,7356,67,0,67
2025-04-11,Gazole,2.25,9443,0,9441,72,0,72
2025-04-11,SP98,1.99,7945,27,7720,65,0,65
