id,ville,adresse,dist_km,brand,source,osm,osm_tags,match_m,shared
31300007,TOULOUSE,104 AV GDE BRETAGNE,11.39,TotalEnergies,recognised,node/5829202341,brand=TotalEnergies | name=Relais Toulouse Grande-Bretagne,10,
31860005,Labarthe-sur-Lèze,2111 route du Plantaurel,11.52,,unmatched,,,,
31500006,Toulouse,AVENUE YVES BRUNAUD,11.73,Esso,recognised,way/76320516,brand=Esso | operator=Esso | name=Esso,49,
31270004,CUGNAUX,34 Rue de la Vimona,12.18,Intermarché,recognised,way/70496368,brand=Intermarché | name=Intermarché,4,
31270005,CUGNAUX,Rue Henry Gladi,12.31,Carrefour,recognised,node/312218346,brand=Carrefour | name=Carrefour,156,
31300008,TOULOUSE,6 AVENUE DU GOUPE MORHANGE,12.46,Total Access,recognised,way/64893194,brand=Total Access | name=Rocade Purpan,38,
31000004,TOULOUSE,65 ROUTE D AGDE,12.52,,unmatched,,,,
31500007,Toulouse,231 FAUBOURG BONNEFOY,12.66,Esso,recognised,node/675734768,brand=Esso | operator=Esso | name=Esso 24/7,23,
31270007,Villeneuve-Tolosane,8 AVENUE DE FRANCAZAL,12.69,Total Access,recognised,node/7588684694,brand=Total Access | name=Total Access,100,
31100003,TOULOUSE,30 Chemin de Ferro-Lébrès,12.78,Intermarché,recognised,node/302014807,brand=Intermarché | name=Station Intermarché,158,
31200022,TOULOUSE,55 BOULEVARD DE SUISSE,12.8,Total Access,recognised,node/365623276,brand=Total Access | operator=Total | name=Total Access,26,
31075001,TOULOUSE,92 Chemin de Gabardie,12.96,Auchan,recognised,node/25214008,brand=Auchan | operator=Auchan | name=C.c. Auchan,57,
31200020,TOULOUSE,103 BOULEVARD DE SUISSE,13.02,TotalEnergies,recognised,way/76332901,brand=TotalEnergies | name=TotalEnergies,58,
31600007,MURET,RN 117 - LIEU DIT GUERIN,13.24,,unmatched,,,,
31076001,TOULOUSE,36 route de bayonne,13.25,Carrefour,recognised,node/4961648254,operator=Carrefour | name=Station essence Carrefour Purpan,57,
31570002,Lanta,8 route de Caraman,13.45,Carrefour Contact,recognised,node/5644317629,brand=Carrefour Contact | name=Carrefour Contact,67,
31270003,FROUZINS,CHEMIN MAILHEAUX,14.31,Carrefour Market,recognised,node/1377593519,brand=Carrefour Market | name=Carrefour Market,65,
31200002,Toulouse,211 Route d'Albi,14.36,TotalEnergies,recognised,way/76306802,brand=TotalEnergies | operator=Total | name=Total,68,
31000003,Toulouse,138 Avenue de Fronton,14.38,Intermarché,recognised,node/2182442713,brand=Intermarché | name=Intermarché,85,
31170008,TOURNEFEUILLE,20 boulevard Vincent Auriol,14.53,Avia,recognised,node/2153375440,brand=Avia | operator=Avia | name=Avia Xpress,4,
31170002,TOURNEFEUILLE,5 Rue Bertrand Panouse,14.55,Auchan,recognised,way/74785397,brand=Auchan | name=Auchan,56,
31700004,Blagnac,9 Avenue du Général Compans,14.73,Esso,recognised,node/288551381,brand=Esso | operator=Esso | name=Esso,39,
31600011,MURET,68 avenue Jacques Douzans,14.75,,unmatched,,,,
31240003,SAINT-JEAN,6 AVENUE DE DANCELLE,14.79,Intermarché,recognised,way/399954639,brand=Intermarché,127,
31600001,EAUNES,2 Boulevard de la leze,14.81,Super U,recognised,way/120867729,brand=Super U | operator=Super U | name=Super U,64,
31240002,L'UNION,AVENUE DE BAYONNE,14.83,Élan (TotalEnergies),recognised,node/4318691182,brand=Elan | operator=TotalEnergies,17,
31200008,Toulouse,168 Avenue des États-Unis,14.92,Esso,recognised,node/2078547598,brand=Esso | name=Esso,72,
